,,,,,,,0,0.389
,,,,,,,0.05,0.408
,,,,,,,0.1,0.431
,,,,,,,0.15,0.458
,,,,,,,0.2,0.484
,,,,,,,0.25,0.506
,,,,,,,0.3,0.522
,,,,,,,0.35,0.53
,,,,,,,0.4,0.532
,,,,,,,0.45,0.522
,,,,,,,0.5,0.504
,,,,,,,0.55,0.479
,,,,,,,0.6,0.453
,,,,,,,0.65,0.426
,,,,,,,0.7,0.404
,,,,,,,0.75,0.387
,,,,,,,0.8,0.378
,,,,,,,0.85,0.377
,,,,,,,0.9,0.385
,,,,,,,0.95,0.402
,,,,,,,1,0.424
,,,,,,,1.05,0.45
,,,,,,,1.1,0.476
,,,,,,,1.15,0.499
,,,,,,,1.2,0.517
,,,,,,,1.25,0.528
,,,,,,,1.3,0.529
,,,,,,,1.35,0.522
,,,,,,,1.4,0.507
,,,,,,,1.45,0.485
,,,,,,,1.5,0.46
,,,,,,,1.55,0.433
,,,,,,,1.6,0.409
,,,,,,,1.65,0.391
,,,,,,,1.7,0.379
,,,,,,,1.75,0.377
,,,,,,,1.8,0.383
,,,,,,,1.85,0.397
,,,,,,,1.9,0.418
,,,,,,,1.95,0.443
,,,,,,,2,0.47
,,,,,,,2.05,0.496
,,,,,,,2.1,0.514
,,,,,,,2.15,0.528
,,,,,,,2.2,0.531
,,,,,,,2.25,0.526
,,,,,,,2.3,0.512
,,,,,,,2.35,0.492
,,,,,,,2.4,0.467
,,,,,,,2.45,0.441
,,,,,,,2.5,0.416
,,,,,,,2.55,0.396
,,,,,,,2.6,0.382
,,,,,,,2.65,0.376
,,,,,,,2.7,0.38
,,,,,,,2.75,0.392
,,,,,,,2.8,0.411
,,,,,,,2.85,0.435
,,,,,,,2.9,0.461
,,,,,,,2.95,0.486
,,,,,,,3,0.507
,,,,,,,3.05,0.523
,,,,,,,3.1,0.529
,,,,,,,3.15,0.527
,,,,,,,3.2,0.517
,,,,,,,3.25,0.498
,,,,,,,3.3,0.475
,,,,,,,3.35,0.449
,,,,,,,3.4,0.423
,,,,,,,3.45,0.401
,,,,,,,3.5,0.386
,,,,,,,3.55,0.378
,,,,,,,3.6,0.379
,,,,,,,3.65,0.389
,,,,,,,3.7,0.405
,,,,,,,3.75,0.428
,,,,,,,3.8,0.454
,,,,,,,3.85,0.479
,,,,,,,3.9,0.502
,,,,,,,3.95,0.519
,,,,,,,4,0.528
,,,,,,,4.05,0.528
,,,,,,,4.1,0.52
,,,,,,,4.15,0.503
,,,,,,,4.2,0.481
,,,,,,,4.25,0.456
,,,,,,,4.3,0.43
,,,,,,,4.35,0.407
,,,,,,,4.4,0.389
,,,,,,,4.45,0.379
,,,,,,,4.5,0.377
,,,,,,,4.55,0.385
,,,,,,,4.6,0.4
,,,,,,,4.65,0.421
,,,,,,,4.7,0.446
,,,,,,,4.75,0.473
,,,,,,,4.8,0.496
,,,,,,,4.85,0.517
,,,,,,,4.9,0.529
,,,,,,,4.95,0.532
,,,,,,,5,0.526
,,,,,,,5.05,0.51
,,,,,,,5.1,0.489
,,,,,,,5.15,0.464
,,,,,,,5.2,0.438
,,,,,,,5.25,0.413
,,,,,,,5.3,0.394
,,,,,,,5.35,0.381
,,,,,,,5.4,0.377
,,,,,,,5.45,0.382
,,,,,,,5.5,0.395
,,,,,,,5.55,0.414
,,,,,,,5.6,0.439
,,,,,,,5.65,0.464
,,,,,,,5.7,0.489
,,,,,,,5.75,0.509
,,,,,,,5.8,0.523
,,,,,,,5.85,0.529
,,,,,,,5.9,0.525
,,,,,,,5.95,0.513
,,,,,,,6,0.494
,,,,,,,6.05,0.471
,,,,,,,6.1,0.445
,,,,,,,6.15,0.42
,,,,,,,6.2,0.399
,,,,,,,6.25,0.385
,,,,,,,6.3,0.378
,,,,,,,6.35,0.38
,,,,,,,6.4,0.391
,,,,,,,6.45,0.408
,,,,,,,6.5,0.431
,,,,,,,6.55,0.457
,,,,,,,6.6,0.482
,,,,,,,6.65,0.504
,,,,,,,6.7,0.52
,,,,,,,6.75,0.528
,,,,,,,6.8,0.527
,,,,,,,6.85,0.518
,,,,,,,6.9,0.501
,,,,,,,6.95,0.478
,,,,,,,7,0.453
,,,,,,,7.05,0.427
,,,,,,,7.1,0.405
,,,,,,,7.15,0.388
,,,,,,,7.2,0.379
,,,,,,,7.25,0.378
,,,,,,,7.3,0.386
,,,,,,,7.35,0.402
,,,,,,,7.4,0.424
,,,,,,,7.45,0.449
,,,,,,,7.5,0.475
,,,,,,,7.55,0.498
,,,,,,,7.6,0.516
,,,,,,,7.65,0.527
,,,,,,,7.7,0.528
,,,,,,,7.75,0.522
,,,,,,,7.8,0.507
,,,,,,,7.85,0.487
,,,,,,,7.9,0.461
,,,,,,,7.95,0.435
,,,,,,,8,0.412
,,,,,,,8.05,0.393
,,,,,,,8.1,0.382
,,,,,,,8.15,0.378
,,,,,,,8.2,0.384
,,,,,,,8.25,0.397
,,,,,,,8.3,0.417
,,,,,,,8.35,0.441
,,,,,,,8.4,0.467
,,,,,,,8.45,0.491
,,,,,,,8.5,0.511
,,,,,,,8.55,0.523
,,,,,,,8.6,0.528
,,,,,,,8.65,0.524
,,,,,,,8.7,0.511
,,,,,,,8.75,0.492
,,,,,,,8.8,0.468
,,,,,,,8.85,0.442
,,,,,,,8.9,0.418
,,,,,,,8.95,0.397
,,,,,,,9,0.384
,,,,,,,9.05,0.378
,,,,,,,9.1,0.382
,,,,,,,9.15,0.393
,,,,,,,9.2,0.411
,,,,,,,9.25,0.435
,,,,,,,9.3,0.461
,,,,,,,9.35,0.486
,,,,,,,9.4,0.508
,,,,,,,9.45,0.521
,,,,,,,9.5,0.528
,,,,,,,9.55,0.528
,,,,,,,9.6,0.516
,,,,,,,9.65,0.498
,,,,,,,9.7,0.475
,,,,,,,9.75,0.449
,,,,,,,9.8,0.425
,,,,,,,9.85,0.403
,,,,,,,9.9,0.387
,,,,,,,9.95,0.379
,,,,,,,10,0.379
,,,,,,,10.05,0.389
,,,,,,,10.1,0.405
,,,,,,,10.15,0.427
,,,,,,,10.2,0.452
,,,,,,,10.25,0.478
,,,,,,,10.3,0.5
,,,,,,,10.35,0.517
