Time,Pos,isDupe,Period,CalPos
0.55,0.572,False,0.9000000000000001,0.0874545454545454
1.0,0.396,False,0.8999999999999999,-0.08854545454545454
1.45,0.572,False,0.8999999999999999,0.0874545454545454
1.9,0.397,False,0.8999999999999999,-0.08754545454545454
2.4,0.571,True,1.0,0.0864545454545454
2.85,0.397,False,0.9000000000000004,-0.08754545454545454
3.3,0.572,False,0.8999999999999995,0.0874545454545454
3.75,0.397,False,0.9000000000000004,-0.08754545454545454
4.2,0.571,False,0.9000000000000004,0.0864545454545454
4.7,0.399,True,1.0,-0.08554545454545454
5.15,0.571,False,0.9000000000000004,0.0864545454545454
5.6,0.398,False,0.8999999999999986,-0.08654545454545454
6.05,0.571,False,0.9000000000000004,0.0864545454545454
6.5,0.399,False,0.9000000000000004,-0.08554545454545454
7.0,0.57,True,1.0,0.0854545454545454
7.45,0.399,False,0.9000000000000004,-0.08554545454545454
7.9,0.571,False,0.9000000000000004,0.0864545454545454
8.35,0.398,False,0.8999999999999986,-0.08654545454545454
8.8,0.57,False,0.9000000000000021,0.0854545454545454
9.3,0.4,True,1.0,-0.08454545454545453
9.75,0.57,False,0.8999999999999986,0.0854545454545454
10.2,0.399,False,0.8999999999999986,-0.08554545454545454
