0,0.333
0.05,0.316
0.1,0.306
0.15,0.305
0.2,0.312
0.25,0.327
0.3,0.349
0.35,0.376
0.4,0.404
0.45,0.433
0.5,0.459
0.55,0.481
0.6,0.496
0.65,0.507
0.7,0.506
0.75,0.498
0.8,0.48
0.85,0.457
0.9,0.43
0.95,0.403
1,0.375
1.05,0.347
1.1,0.326
1.15,0.312
1.2,0.305
1.25,0.307
1.3,0.318
1.35,0.335
1.4,0.359
1.45,0.387
1.5,0.415
1.55,0.443
1.6,0.468
1.65,0.488
1.7,0.5
1.75,0.507
1.8,0.502
1.85,0.491
1.9,0.47
1.95,0.446
2,0.418
2.05,0.391
2.1,0.362
2.15,0.338
2.2,0.32
2.25,0.309
2.3,0.306
2.35,0.311
2.4,0.325
2.45,0.346
2.5,0.372
2.55,0.399
2.6,0.427
2.65,0.454
2.7,0.478
2.75,0.493
2.8,0.503
2.85,0.505
2.9,0.497
2.95,0.482
3,0.46
3.05,0.435
3.1,0.406
3.15,0.378
3.2,0.351
3.25,0.33
3.3,0.314
3.35,0.306
3.4,0.307
3.45,0.316
3.5,0.332
3.55,0.355
3.6,0.383
3.65,0.409
3.7,0.438
3.75,0.463
3.8,0.484
3.85,0.501
3.9,0.507
3.95,0.505
4,0.492
4.05,0.475
4.1,0.451
4.15,0.423
4.2,0.395
4.25,0.369
4.3,0.342
4.35,0.323
4.4,0.31
4.45,0.306
4.5,0.31
4.55,0.321
4.6,0.34
4.65,0.365
4.7,0.393
4.75,0.421
4.8,0.448
4.85,0.472
4.9,0.49
4.95,0.503
5,0.504
5.05,0.5
5.1,0.485
5.15,0.465
5.2,0.44
5.25,0.411
5.3,0.386
5.35,0.358
5.4,0.334
5.45,0.318
5.5,0.308
5.55,0.307
5.6,0.314
5.65,0.329
5.7,0.35
5.75,0.376
5.8,0.404
5.85,0.432
5.9,0.458
5.95,0.48
6,0.497
6.05,0.502
6.1,0.504
6.15,0.493
6.2,0.477
6.25,0.455
6.3,0.428
6.35,0.4
6.4,0.373
6.45,0.347
6.5,0.326
6.55,0.313
6.6,0.307
6.65,0.309
6.7,0.319
6.75,0.337
6.8,0.362
6.85,0.389
6.9,0.415
6.95,0.443
7,0.469
7.05,0.487
7.1,0.501
7.15,0.503
7.2,0.501
7.25,0.488
7.3,0.47
7.35,0.444
7.4,0.416
7.45,0.39
7.5,0.362
7.55,0.338
7.6,0.32
7.65,0.309
7.7,0.307
7.75,0.312
7.8,0.326
7.85,0.346
7.9,0.371
7.95,0.399
8,0.427
8.05,0.453
8.1,0.476
8.15,0.494
8.2,0.504
8.25,0.504
8.3,0.497
8.35,0.482
8.4,0.459
8.45,0.433
8.5,0.405
8.55,0.38
8.6,0.353
8.65,0.33
8.7,0.315
8.75,0.308
8.8,0.308
8.85,0.317
8.9,0.333
8.95,0.355
9,0.382
9.05,0.409
9.1,0.437
9.15,0.462
9.2,0.483
9.25,0.496
9.3,0.503
9.35,0.5
9.4,0.491
9.45,0.472
9.5,0.449
9.55,0.422
9.6,0.396
9.65,0.367
9.7,0.342
9.75,0.324
9.8,0.312
9.85,0.307
9.9,0.311
9.95,0.324
10,0.342
10.05,0.368
10.1,0.394
10.15,0.421
10.2,0.448
10.25,0.471
10.3,0.491
10.35,0.499
10.4,0.504
10.45,0.498
10.5,0.483
10.55,0.463
10.6,0.438
10.65,0.41
10.7,0.383
10.75,0.356
10.8,0.334
10.85,0.317
10.9,0.309
10.95,0.308
11,0.315
11.05,0.33
